         558350302 function calls (558344634 primitive calls) in 475.387 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1076/781    0.002    0.000    0.739    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      355    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
      303    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
      303    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:147(__enter__)
      303    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:151(__exit__)
      355    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      300    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
       52    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    366/4    0.001    0.000    2.525    0.631 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     2400    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      277    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      277    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
      277    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:318(__exit__)
     1108    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      263    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      314    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
      539    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:403(cached)
      427    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      277    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        9    0.000    0.000    0.152    0.017 <frozen importlib._bootstrap>:433(spec_from_loader)
      277    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  277/276    0.002    0.000    0.586    0.002 <frozen importlib._bootstrap>:576(module_from_spec)
      300    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:634(_load_backward_compatible)
    285/4    0.004    0.000    2.511    0.628 <frozen importlib._bootstrap>:663(_load_unlocked)
      297    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
